"data_type","synthetic_source","transaction_id","user_id","transaction_date","transaction_type","transaction_role","amount","currency","income_record_id","investment_id","capital_gain_id","reconciliation_status"
"synthetic","generated_for_testing","TXN00001","USR0001","2025-04-02","bank_interest_credit","income_receipt","3137","INR","INC000102",,,"matched"
"synthetic","generated_for_testing","TXN00002","USR0002","2025-04-03","freelance_receipt","income_receipt","3274","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00003","USR0003","2025-04-04","investment_purchase","investment_acquisition","3411","INR","INCX0003purchase",,,"matched"
"synthetic","generated_for_testing","TXN00004","USR0004","2025-04-05","investment_sale","investment_disposal","3548","INR","INCX0004sale","INV0004","CG0004","matched"
"synthetic","generated_for_testing","TXN00005","USR0005","2025-04-06","rent_receipt","income_receipt","3685","INR","INC000503",,,"review"
"synthetic","generated_for_testing","TXN00006","USR0006","2025-04-07","salary_credit","income_receipt","3822","INR","INC000601",,,"matched"
"synthetic","generated_for_testing","TXN00007","USR0007","2025-04-08","bank_interest_credit","income_receipt","3959","INR","INC000702",,,"matched"
"synthetic","generated_for_testing","TXN00008","USR0008","2025-04-09","freelance_receipt","income_receipt","4096","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00009","USR0009","2025-04-10","investment_purchase","investment_acquisition","4233","INR","INCX0009purchase",,,"matched"
"synthetic","generated_for_testing","TXN00010","USR0010","2025-04-11","investment_sale","investment_disposal","4370","INR","INCX0010sale","INV0010",,"review"
"synthetic","generated_for_testing","TXN00011","USR0011","2025-04-12","rent_receipt","income_receipt","4507","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00012","USR0012","2025-04-13","salary_credit","income_receipt","4644","INR","INC001201",,,"matched"
"synthetic","generated_for_testing","TXN00013","USR0013","2025-04-14","bank_interest_credit","income_receipt","4781","INR","INC001302",,,"matched"
"synthetic","generated_for_testing","TXN00014","USR0014","2025-04-15","freelance_receipt","income_receipt","4918","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00015","USR0015","2025-04-16","investment_purchase","investment_acquisition","5055","INR","INCX0015purchase",,,"review"
"synthetic","generated_for_testing","TXN00016","USR0016","2025-04-17","investment_sale","investment_disposal","5192","INR","INCX0016sale","INV0016","CG0016","matched"
"synthetic","generated_for_testing","TXN00017","USR0017","2025-04-18","rent_receipt","income_receipt","5329","INR",,,,"matched"
"synthetic","generated_for_testing","TXN00018","USR0018","2025-04-19","salary_credit","income_receipt","5466","INR","INC001801",,,"matched"
"synthetic","generated_for_testing","TXN00019","USR0019","2025-04-20","bank_interest_credit","income_receipt","5603","INR","INC001902",,,"matched"
"synthetic","generated_for_testing","TXN00020","USR0020","2025-04-21","freelance_receipt","income_receipt","5740","INR",,,,"review"
