"data_type","synthetic_source","scenario_change_id","scenario_id","user_id","scenario_type","change_field","base_value","changed_value","change_amount","tax_rule_id","rule_source_dataset","impact_calculation","calculated_tax_impact","calculated_compliance_impact","calculated_readiness_impact"
"synthetic","generated_for_testing","SCH0001","SC0001","USR0001","salary_increase","income_or_deduction_amount","643200","653200","10000","RATE-003","tax_rates.csv","change_amount multiplied by supported rule rate","1000.0","none","recalculate"
"synthetic","generated_for_testing","SCH0002","SC0002","USR0002","additional_freelance_income","income_or_deduction_amount","662400","682400","20000","BIZ-004","business_profession_rules.csv","change_amount multiplied by supported rule rate","4000.0","review_advance_tax","recalculate"
"synthetic","generated_for_testing","SCH0003","SC0003","USR0003","additional_investment","income_or_deduction_amount","681600","711600","30000","RATE-003","tax_rates.csv","change_amount multiplied by supported rule rate","3000.0","none","evidence_review_required"
"synthetic","generated_for_testing","SCH0004","SC0004","USR0004","capital_gain_event","income_or_deduction_amount","700800","740800","40000","CG-002","capital_gain_rules.csv","change_amount multiplied by supported rule rate","5000.00","none","evidence_review_required"
"synthetic","generated_for_testing","SCH0005","SC0005","USR0005","tax_saving_investment","income_or_deduction_amount","720000","770000","50000","DED-001","deduction_rules.csv","change_amount multiplied by supported rule rate","-2500.00","none","evidence_review_required"
"synthetic","generated_for_testing","SCH0006","SC0006","USR0006","additional_loan_interest","income_or_deduction_amount","739200","799200","60000","DED-008","deduction_rules.csv","change_amount multiplied by supported rule rate","-3000.00","none","evidence_review_required"
"synthetic","generated_for_testing","SCH0007","SC0007","USR0007","salary_increase","income_or_deduction_amount","758400","828400","70000","RATE-003","tax_rates.csv","change_amount multiplied by supported rule rate","7000.0","none","recalculate"
"synthetic","generated_for_testing","SCH0008","SC0008","USR0008","additional_freelance_income","income_or_deduction_amount","777600","857600","80000","BIZ-004","business_profession_rules.csv","change_amount multiplied by supported rule rate","16000.0","review_advance_tax","recalculate"
"synthetic","generated_for_testing","SCH0009","SC0009","USR0009","additional_investment","income_or_deduction_amount","796800","886800","90000","RATE-003","tax_rates.csv","change_amount multiplied by supported rule rate","9000.0","none","evidence_review_required"
"synthetic","generated_for_testing","SCH0010","SC0010","USR0010","capital_gain_event","income_or_deduction_amount","816000","916000","100000","CG-002","capital_gain_rules.csv","change_amount multiplied by supported rule rate","12500.00","none","evidence_review_required"
"synthetic","generated_for_testing","SCH0011","SC0011","USR0011","tax_saving_investment","income_or_deduction_amount","835200","945200","110000","DED-001","deduction_rules.csv","change_amount multiplied by supported rule rate","-5500.00","none","evidence_review_required"
