"data_type","synthetic_source","capital_gain_id","user_id","investment_id","asset_type","purchase_date","sale_date","acquisition_amount","sale_amount","gain_amount","holding_period_days","holding_category","stt_paid","applicable_rule_id","evidence_id","evidence_status"
"synthetic","generated_for_testing","CG0004","USR0004","INV0004","listed_equity","2024-06-15","2025-12-20","84000","115200","31200","553","long_term","YES","CG-002","EV-015","linked"
"synthetic","generated_for_testing","CG0008","USR0008","INV0008","listed_equity","2024-06-15","2025-12-20","88000","120400","32400","553","long_term","YES","CG-002","EV-015","linked"
"synthetic","generated_for_testing","CG0012","USR0012","INV0012","listed_equity","2024-06-15","2025-12-20","92000","125600","33600","553","long_term","YES","CG-002","EV-015","linked"
"synthetic","generated_for_testing","CG0016","USR0016","INV0016","listed_equity","2024-06-15","2025-12-20","96000","130800","34800","553","long_term","YES","CG-002","EV-015","linked"
"synthetic","generated_for_testing","CG0020","USR0020","INV0020","listed_equity","2024-06-15","2025-12-20","100000","136000","36000","553","long_term","YES","CG-002","EV-015","linked"
"synthetic","generated_for_testing","CG0024","USR0024","INV0024","listed_equity","2024-06-15","2025-12-20","104000","141200","37200","553","long_term","YES","CG-002","EV-015","linked"
"synthetic","generated_for_testing","CG0028","USR0028","INV0028","listed_equity","2024-06-15","2025-12-20","108000","146400","38400","553","long_term","YES","CG-002","EV-015","linked"
"synthetic","generated_for_testing","CG0032","USR0032","INV0032","listed_equity","2024-06-15","2025-12-20","112000","151600","39600","553","long_term","YES","CG-002","EV-015","linked"
"synthetic","generated_for_testing","CG0036","USR0036","INV0036","listed_equity","2024-06-15","2025-12-20","116000","156800","40800","553","long_term","YES","CG-002","EV-015","linked"
"synthetic","generated_for_testing","CG0040","USR0040","INV0040","listed_equity","2024-06-15","2025-12-20","120000","162000","42000","553","long_term","YES","CG-002","EV-015","linked"
"synthetic","generated_for_testing","CG0044","USR0044","INV0044","listed_equity","2024-06-15","2025-12-20","124000","167200","43200","553","long_term","YES","CG-002","EV-015","linked"
"synthetic","generated_for_testing","CG0048","USR0048","INV0048","listed_equity","2024-06-15","2025-12-20","128000","172400","44400","553","long_term","YES","CG-002","EV-015","linked"
