"evidence_id","financial_event","tax_section","evidence_type","document_type_id","mandatory","conditions","verification_method","source_name","source_url","source_reference","assessment_year","verification_status"
"EV-001","salary","","Form 16","DOC-T-001","SUPPORTING","Keep ready if applicable for ITR filing; source does not label it mandatory.","Match taxpayer document to income/deduction/transaction record.","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Q8 documents to keep ready","2026-27","VERIFIED"
"EV-002","tds_income","","Form 16A","DOC-T-002","SUPPORTING","Keep ready if applicable for ITR filing; source does not label it mandatory.","Match taxpayer document to income/deduction/transaction record.","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Q8 documents to keep ready","2026-27","VERIFIED"
"EV-003","tax_reconciliation","","Form 26AS","DOC-T-003","SUPPORTING","Keep ready if applicable for ITR filing; source does not label it mandatory.","Match taxpayer document to income/deduction/transaction record.","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Q8 documents to keep ready","2026-27","VERIFIED"
"EV-004","tax_reconciliation","","AIS","DOC-T-004","SUPPORTING","Keep ready if applicable for ITR filing; source does not label it mandatory.","Match taxpayer document to income/deduction/transaction record.","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Q8 documents to keep ready","2026-27","VERIFIED"
"EV-005","salary","","Pay Slip","DOC-T-005","SUPPORTING","Keep ready if applicable for ITR filing; source does not label it mandatory.","Match taxpayer document to income/deduction/transaction record.","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Q8 documents to keep ready","2026-27","VERIFIED"
"EV-006","bank_interest","","Bank Statement","DOC-T-006","SUPPORTING","Keep ready if applicable for ITR filing; source does not label it mandatory.","Match taxpayer document to income/deduction/transaction record.","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Q8 documents to keep ready","2026-27","VERIFIED"
"EV-007","home_loan_interest","24(b)","Housing Loan Interest Certificate","DOC-T-007","SUPPORTING","Keep ready if applicable for ITR filing; source does not label it mandatory.","Match taxpayer document to income/deduction/transaction record.","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Q8 documents to keep ready","2026-27","VERIFIED"
"EV-008","rental_income","","House Rent Receipt","DOC-T-008","SUPPORTING","Keep ready if applicable for ITR filing; source does not label it mandatory.","Match taxpayer document to income/deduction/transaction record.","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Q8 documents to keep ready","2026-27","VERIFIED"
"EV-009","rental_income","","Rental Agreement","DOC-T-009","SUPPORTING","Keep ready if applicable for ITR filing; source does not label it mandatory.","Match taxpayer document to income/deduction/transaction record.","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Q8 documents to keep ready","2026-27","VERIFIED"
"EV-010","donation","80G","Donation Receipt","DOC-T-010","SUPPORTING","Keep ready if applicable for ITR filing; source does not label it mandatory.","Match taxpayer document to income/deduction/transaction record.","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Q8 documents to keep ready","2026-27","VERIFIED"
