"mapping_id","financial_event","expected_document","document_type_id","tax_rule_or_section","verification_requirement","evidence_id","source_name","source_url","source_reference","verification_status"
"SEM-001","salary","Form 16","DOC-T-001","","Match taxpayer document to income/deduction/transaction record.","EV-001","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Q8 documents to keep ready","VERIFIED"
"SEM-002","tds_income","Form 16A","DOC-T-002","","Match taxpayer document to income/deduction/transaction record.","EV-002","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Q8 documents to keep ready","VERIFIED"
"SEM-003","tax_reconciliation","Form 26AS","DOC-T-003","","Match taxpayer document to income/deduction/transaction record.","EV-003","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Q8 documents to keep ready","VERIFIED"
"SEM-004","tax_reconciliation","AIS","DOC-T-004","","Match taxpayer document to income/deduction/transaction record.","EV-004","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Q8 documents to keep ready","VERIFIED"
"SEM-005","salary","Pay Slip","DOC-T-005","","Match taxpayer document to income/deduction/transaction record.","EV-005","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Q8 documents to keep ready","VERIFIED"
"SEM-006","bank_interest","Bank Statement","DOC-T-006","","Match taxpayer document to income/deduction/transaction record.","EV-006","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Q8 documents to keep ready","VERIFIED"
"SEM-007","home_loan_interest","Housing Loan Interest Certificate","DOC-T-007","24(b)","Match taxpayer document to income/deduction/transaction record.","EV-007","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Q8 documents to keep ready","VERIFIED"
"SEM-008","rental_income","House Rent Receipt","DOC-T-008","","Match taxpayer document to income/deduction/transaction record.","EV-008","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Q8 documents to keep ready","VERIFIED"
"SEM-009","rental_income","Rental Agreement","DOC-T-009","","Match taxpayer document to income/deduction/transaction record.","EV-009","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Q8 documents to keep ready","VERIFIED"
"SEM-010","donation","Donation Receipt","DOC-T-010","80G","Match taxpayer document to income/deduction/transaction record.","EV-010","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Q8 documents to keep ready","VERIFIED"
"SEM-011","investment_deduction","Investment or premium payment receipt","DOC-T-011","80C","Match taxpayer document to income/deduction/transaction record.","EV-011","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Q8 documents to keep ready","VERIFIED"
"SEM-012","freelance_income","Invoice or Professional Contract","DOC-T-013","194J","Match payer; amount; date; and TDS certificate to income record.","EV-012","Income Tax Department - File ITR-2 Online","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/file-itr-2-online","Documents to keep ready; supported project reconciliation workflow","VERIFIED"
"SEM-013","business_income","Invoice or Professional Contract","DOC-T-013","28","Match income and expense record to business source document.","EV-013","Income Tax Department - File ITR-2 Online","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/file-itr-2-online","Documents to keep ready; supported project evidence workflow","VERIFIED"
"SEM-014","dividend_income","Form 16A","DOC-T-002","194","Match payer; dividend income; and TDS to Form 16A or Form 26AS.","EV-014","Income Tax Department - Rule 31","https://wmstatic-prd.incometaxindia.gov.in/web/guest/w/rule-31-6","Form 16A for TDS other than salary","VERIFIED"
"SEM-015","capital_gain","Contract Note or Broker Statement","DOC-T-014","111A or 112A","Match asset; purchase date; sale date; consideration; and STT indicator to capital-gain record.","EV-015","Income Tax Department - Capital Gain","https://www.incometaxindia.gov.in/w/capital-gain","Capital-gain computation and Schedule 112A workflow","VERIFIED"
"SEM-016","tax_payment","Tax Payment Challan","DOC-T-015","140A or 211","Match challan amount; payment date; and payment reference to obligation.","EV-016","Income Tax Department - Section 140A","https://www.incometaxindia.gov.in/w/section-140a-4","Payment proof requirement","VERIFIED"
"SEM-017","health_insurance","Investment or premium payment receipt","DOC-T-011","80D","Match insured person category; premium; payment mode; and policy evidence.","EV-017","Income Tax Department - Section 80D","https://www.incometaxindia.gov.in/w/section-80d-62","Section 80D eligible premium conditions","VERIFIED"
