"data_type","synthetic_source","obligation_id","user_id","obligation_type","deadline_id","payment_rule_id","tax_assessment_id","due_date","payment_required","expected_amount","amount_paid","remaining_amount","payment_status","status"
"synthetic","generated_for_testing","OBLPAY0001","USR0001","advance_tax","DL-004","PAY-004","TAX0001","2026-03-15","YES","11225","11225","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0001","USR0001","itr_filing","DL-010","","TAX0001","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0002","USR0002","self_assessment_tax","DL-010","PAY-006","TAX0002","2026-08-31","YES","14554","14554","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0002","USR0002","itr_filing","DL-010","","TAX0002","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0003","USR0003","advance_tax","DL-004","PAY-004","TAX0003","2026-03-15","YES","7547","7547","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0003","USR0003","itr_filing","DL-012","","TAX0003","2026-08-31","NO","0","0","0","not_required","completed"
"synthetic","generated_for_testing","OBLPAY0004","USR0004","self_assessment_tax","DL-010","PAY-006","TAX0004","2026-08-31","YES","21211","21211","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0004","USR0004","itr_filing","DL-011","","TAX0004","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0005","USR0005","advance_tax","DL-004","PAY-004","TAX0005","2026-03-15","YES","19647","19647","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0005","USR0005","itr_filing","DL-010","","TAX0005","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0006","USR0006","self_assessment_tax","DL-010","PAY-006","TAX0006","2026-08-31","YES","17542","17542","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0006","USR0006","itr_filing","DL-012","","TAX0006","2026-08-31","NO","0","0","0","not_required","completed"
"synthetic","generated_for_testing","OBLPAY0007","USR0007","advance_tax","DL-004","PAY-004","TAX0007","2026-03-15","YES","31198","15599","15599","partially_paid","open"
"synthetic","generated_for_testing","OBLITR0007","USR0007","itr_filing","DL-010","","TAX0007","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0008","USR0008","self_assessment_tax","DL-010","PAY-006","TAX0008","2026-08-31","YES","34526","34526","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0008","USR0008","itr_filing","DL-011","","TAX0008","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0009","USR0009","advance_tax","DL-004","PAY-004","TAX0009","2026-03-15","YES","27536","27536","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0009","USR0009","itr_filing","DL-012","","TAX0009","2026-08-31","NO","0","0","0","not_required","completed"
"synthetic","generated_for_testing","OBLPAY0010","USR0010","self_assessment_tax","DL-010","PAY-006","TAX0010","2026-08-31","YES","35978","35978","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0010","USR0010","itr_filing","DL-010","","TAX0010","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0011","USR0011","advance_tax","DL-004","PAY-004","TAX0011","2026-03-15","YES","44513","44513","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0011","USR0011","itr_filing","DL-010","","TAX0011","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0012","USR0012","self_assessment_tax","DL-010","PAY-006","TAX0012","2026-08-31","YES","37531","37531","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0012","USR0012","itr_filing","DL-012","","TAX0012","2026-08-31","NO","0","0","0","not_required","completed"
"synthetic","generated_for_testing","OBLPAY0013","USR0013","advance_tax","DL-004","PAY-004","TAX0013","2026-03-15","YES","51170","51170","0","paid","completed"
"synthetic","generated_for_testing","OBLITR0013","USR0013","itr_filing","DL-010","","TAX0013","2026-08-31","NO","0","0","0","not_required","open"
"synthetic","generated_for_testing","OBLPAY0014","USR0014","self_assessment_tax","DL-010","PAY-006","TAX0014","2026-08-31","YES","54499","54499","0","paid","completed"
