"data_type","synthetic_source","tax_assessment_id","user_id","assessment_year","financial_year","tax_regime","gross_total_income","salary_standard_deduction","interest_deduction","chapter_via_deduction","municipal_taxes_paid","house_property_standard_deduction","house_property_net_income","house_property_setoff_allowed","taxable_income","income_tax","special_rate_tax","cess","tds_credit","net_tax_payable","calculation_status","calculation_rule_set"
"synthetic","generated_for_testing","TAX0001","USR0001","2026-27","2025-26","old","643200","50000","12600","12600","0","0.0","0.0","0","580600","28620.0","0","1144.80","18540","11225","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0002","USR0002","2026-27","2025-26","old","662400","50000","13200","13200","0","0.0","0.0","0","599200","32340.0","0","1293.60","19080","14554","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0003","USR0003","2026-27","2025-26","old","681600","50000","10000","61500","0","0.0","0.0","0","570100","26520.0","0","1060.80","20034","7547","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0004","USR0004","2026-27","2025-26","old","700800","50000","14400","14400","0","0.0","0.0","0","636400","39780.0","0","1591.20","20160","21211","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0005","USR0005","2026-27","2025-26","old","720000","50000","15000","33500","750","4275.0","9975.0","9975","631475","38795.0","0","1551.80","20700","19647","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0006","USR0006","2026-27","2025-26","old","739200","50000","10000","63000","0","0.0","0.0","0","626200","37740.0","0","1509.60","21708","17542","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0007","USR0007","2026-27","2025-26","old","758400","50000","16200","16200","0","0.0","0.0","0","692200","50940.0","0","2037.60","21780","31198","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0008","USR0008","2026-27","2025-26","old","777600","50000","16800","16800","0","0.0","0.0","0","710800","54660.0","0","2186.40","22320","34526","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0009","USR0009","2026-27","2025-26","old","796800","50000","10000","64500","0","0.0","0.0","0","682300","48960.0","0","1958.40","23382","27536","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0010","USR0010","2026-27","2025-26","old","816000","50000","18000","37000","900","5130.0","11970.0","11970","722970","57094.0","0","2283.76","23400","35978","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0011","USR0011","2026-27","2025-26","old","835200","50000","18600","18600","0","0.0","0.0","0","766600","65820.0","0","2632.80","23940","44513","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0012","USR0012","2026-27","2025-26","old","854400","50000","10000","66000","0","0.0","0.0","0","738400","60180.0","0","2407.20","25056","37531","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0013","USR0013","2026-27","2025-26","old","873600","50000","19800","19800","0","0.0","0.0","0","803800","73260.0","0","2930.40","25020","51170","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0014","USR0014","2026-27","2025-26","old","892800","50000","20400","20400","0","0.0","0.0","0","822400","76980.0","0","3079.20","25560","54499","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0015","USR0015","2026-27","2025-26","old","912000","50000","10000","87000","0","0.0","0.0","0","775000","67500.0","0","2700.00","26730","43470","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0016","USR0016","2026-27","2025-26","old","931200","50000","21600","21600","0","0.0","0.0","0","859600","84420.0","0","3376.80","26640","61157","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0017","USR0017","2026-27","2025-26","old","950400","50000","22200","22200","0","0.0","0.0","0","878200","88140.0","0","3525.60","27180","64486","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0018","USR0018","2026-27","2025-26","old","969600","50000","10000","69000","0","0.0","0.0","0","850600","82620.0","0","3304.80","28404","57521","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
"synthetic","generated_for_testing","TAX0019","USR0019","2026-27","2025-26","old","988800","50000","23400","23400","0","0.0","0.0","0","915400","95580.0","0","3823.20","28260","71143","passed","tax_rates.csv;deduction_rules.csv;capital_gain_rules.csv"
