"deduction_id","assessment_year","financial_year","section","rule_name","tax_regime","eligible_taxpayer","income_category","maximum_limit","limit_amount","rate_percent","calculation_basis","calculation_method","condition_code","required_input_fields","conditions","required_evidence","evidence_id","source_name","source_url","source_reference"
"DED-001","2026-27","2025-26","80C","section_80C_deduction","old","individual or HUF","eligible savings and investments","150000","150000",,"eligible qualifying payments subject to the section 80C limit","minimum_of_eligible_amount_and_limit","section_80C","eligible_payment_amount;payment_category","Only qualifying investments or payments listed in section 80C; aggregate cap applies under section 80CCE.","Investment or premium payment receipt","EV-011","Income Tax Department - Section 80C","https://www.incometaxindia.gov.in/w/section-80c-43","Section 80C and section 80CCE"
"DED-002","2026-27","2025-26","80D","section_80D_deduction","old","individual or HUF","self and family health insurance","25000","25000",,"eligible premium paid otherwise than in cash","minimum_of_eligible_amount_and_limit","section_80D","insured_person_age;premium_paid;payment_mode;relationship","Self family premium where insured person is not a senior citizen.","Investment or premium payment receipt","EV-017","Income Tax Department - Section 80D","https://www.incometaxindia.gov.in/w/section-80d-62","Section 80D"
"DED-003","2026-27","2025-26","80D","section_80D_deduction","old","individual or HUF","self and family health insurance","50000","50000",,"eligible premium paid otherwise than in cash","minimum_of_eligible_amount_and_limit","section_80D","insured_person_age;premium_paid;payment_mode;relationship","Self family premium where insured person is a senior citizen.","Investment or premium payment receipt","EV-017","Income Tax Department - Section 80D","https://www.incometaxindia.gov.in/w/section-80d-62","Section 80D"
"DED-004","2026-27","2025-26","80D","section_80D_deduction","old","individual or HUF","parents health insurance","25000","25000",,"eligible premium paid otherwise than in cash","minimum_of_eligible_amount_and_limit","section_80D","insured_person_age;premium_paid;payment_mode;relationship","Parents premium where parent is not a senior citizen; separate from self and family limit.","Investment or premium payment receipt","EV-017","Income Tax Department - Section 80D","https://www.incometaxindia.gov.in/w/section-80d-62","Section 80D"
"DED-005","2026-27","2025-26","80D","section_80D_deduction","old","individual or HUF","parents health insurance","50000","50000",,"eligible premium paid otherwise than in cash","minimum_of_eligible_amount_and_limit","section_80D","insured_person_age;premium_paid;payment_mode;relationship","Parents premium where parent is a senior citizen; separate from self and family limit.","Investment or premium payment receipt","EV-017","Income Tax Department - Section 80D","https://www.incometaxindia.gov.in/w/section-80d-62","Section 80D"
"DED-006","2026-27","2025-26","80G","section_80G_deduction","old","individual or HUF","eligible donations","SEE_SECTION",,,"50 percent or 100 percent of qualifying donation","eligible_donation_times_statutory_percentage","section_80G","eligible_amount","Rate and any 10 percent of adjusted gross total income ceiling depend on the donee category specified in section 80G.","Donation Receipt","EV-010","Income Tax Department - Section 80G","https://www.incometaxindia.gov.in/w/section-80g-53","Section 80G"
"DED-007","2026-27","2025-26","24(a)","section_24(a)_deduction","old","property owner","income from house property","30 percent of annual value",,"30","statutory deduction from annual value","net_annual_value_times_rate","section_24_a_","gross_rent;municipal_taxes_paid;property_use","Applies to income from house property as provided by section 24(a).","House Rent Receipt & Rental Agreement","EV-008","Income Tax Department - Income from House Property","https://www.incometaxindia.gov.in/w/income-from-house-property","Section 24(a)"
"DED-008","2026-27","2025-26","24(b)","section_24(b)_deduction","old","property owner","self-occupied house property interest","200000","200000",,"eligible interest on borrowed capital","eligible_borrowed_capital_interest_capped_by_limit","section_24_b_","property_use;loan_purpose;loan_date;completion_date;interest_paid","Acquisition or construction loan borrowed on or after 1999-04-01 and completed within five years; subject to section conditions.","Housing Loan Interest Certificate","EV-007","Income Tax Department - Income from House Property","https://www.incometaxindia.gov.in/w/income-from-house-property","Section 24(b)"
"DED-009","2026-27","2025-26","24(b)","section_24(b)_deduction","old","property owner","self-occupied house property interest","30000","30000",,"eligible interest on borrowed capital","eligible_borrowed_capital_interest_capped_by_limit","section_24_b_","property_use;loan_purpose;loan_date;completion_date;interest_paid","Self-occupied property where the Rs.200000 acquisition or construction conditions are not met.","Housing Loan Interest Certificate","EV-007","Income Tax Department - Income from House Property","https://www.incometaxindia.gov.in/w/income-from-house-property","Section 24(b)"
"DED-010","2026-27","2025-26","24(b)","section_24(b)_deduction","old","property owner","let-out house property interest","actual eligible interest",,,"interest on borrowed capital","eligible_borrowed_capital_interest_capped_by_limit","section_24_b_","property_use;loan_purpose;loan_date;completion_date;interest_paid","For let-out property subject to the provisions of section 24(b); loss set-off treatment is outside this rule record.","Housing Loan Interest Certificate","EV-007","Income Tax Department - Income from House Property","https://www.incometaxindia.gov.in/w/income-from-house-property","Section 24(b)"
