"data_type","synthetic_source","investment_id","user_id","asset_type","purchase_date","purchase_amount","current_value","evidence_status","asset_classification_status"
"synthetic","generated_for_testing","INV0002","USR0002","listed_equity","2024-06-15","82000","97400","linked","verified"
"synthetic","generated_for_testing","INV0004","USR0004","listed_equity","2024-06-15","84000","99800","linked","verified"
"synthetic","generated_for_testing","INV0006","USR0006","listed_equity","2024-06-15","86000","102200","linked","verified"
"synthetic","generated_for_testing","INV0008","USR0008","listed_equity","2024-06-15","88000","104600","linked","verified"
"synthetic","generated_for_testing","INV0010","USR0010","listed_equity","2024-06-15","90000","107000","linked","verified"
"synthetic","generated_for_testing","INV0012","USR0012","listed_equity","2024-06-15","92000","109400","linked","verified"
"synthetic","generated_for_testing","INV0014","USR0014","listed_equity","2024-06-15","94000","111800","linked","verified"
"synthetic","generated_for_testing","INV0016","USR0016","listed_equity","2024-06-15","96000","114200","linked","verified"
"synthetic","generated_for_testing","INV0018","USR0018","listed_equity","2024-06-15","98000","116600","linked","verified"
"synthetic","generated_for_testing","INV0020","USR0020","listed_equity","2024-06-15","100000","119000","linked","verified"
"synthetic","generated_for_testing","INV0022","USR0022","listed_equity","2024-06-15","102000","121400","linked","verified"
"synthetic","generated_for_testing","INV0024","USR0024","listed_equity","2024-06-15","104000","123800","linked","verified"
"synthetic","generated_for_testing","INV0026","USR0026","listed_equity","2024-06-15","106000","126200","linked","verified"
"synthetic","generated_for_testing","INV0028","USR0028","listed_equity","2024-06-15","108000","128600","linked","verified"
"synthetic","generated_for_testing","INV0030","USR0030","listed_equity","2024-06-15","110000","131000","linked","verified"
"synthetic","generated_for_testing","INV0032","USR0032","listed_equity","2024-06-15","112000","133400","linked","verified"
"synthetic","generated_for_testing","INV0034","USR0034","listed_equity","2024-06-15","114000","135800","linked","verified"
"synthetic","generated_for_testing","INV0036","USR0036","listed_equity","2024-06-15","116000","138200","linked","verified"
"synthetic","generated_for_testing","INV0038","USR0038","listed_equity","2024-06-15","118000","140600","linked","verified"
"synthetic","generated_for_testing","INV0040","USR0040","listed_equity","2024-06-15","120000","143000","linked","verified"
"synthetic","generated_for_testing","INV0042","USR0042","listed_equity","2024-06-15","122000","145400","linked","verified"
"synthetic","generated_for_testing","INV0044","USR0044","listed_equity","2024-06-15","124000","147800","linked","verified"
"synthetic","generated_for_testing","INV0046","USR0046","listed_equity","2024-06-15","126000","150200","linked","verified"
"synthetic","generated_for_testing","INV0048","USR0048","listed_equity","2024-06-15","128000","152600","linked","verified"
"synthetic","generated_for_testing","INV0050","USR0050","listed_equity","2024-06-15","130000","155000","linked","verified"
