"deadline_id","assessment_year","financial_year","itr_form","event","taxpayer_scope","due_date","rule_or_section","applicability_code","consequence_if_missed","source_name","source_url","source_reference"
"DL-001","2026-27","2025-26",,"advance tax first instalment","taxpayer liable to advance tax","2025-06-15","section 211","advance_tax_first_instalment","cumulative payment should be at least 15 percent; deferment interest may apply under section 234C","Income Tax Department - Advance Tax guidance","https://www.incometaxindia.gov.in/en/aop/boi","Advance-tax instalment table"
"DL-002","2026-27","2025-26",,"advance tax second instalment","taxpayer liable to advance tax","2025-09-15","section 211","advance_tax_second_instalment","cumulative payment should be at least 45 percent; deferment interest may apply under section 234C","Income Tax Department - Advance Tax guidance","https://www.incometaxindia.gov.in/en/aop/boi","Advance-tax instalment table"
"DL-003","2026-27","2025-26",,"advance tax third instalment","taxpayer liable to advance tax","2025-12-15","section 211","advance_tax_third_instalment","cumulative payment should be at least 75 percent; deferment interest may apply under section 234C","Income Tax Department - Advance Tax guidance","https://www.incometaxindia.gov.in/en/aop/boi","Advance-tax instalment table"
"DL-004","2026-27","2025-26",,"advance tax final instalment","taxpayer liable to advance tax","2026-03-15","section 211","advance_tax_final_instalment","cumulative payment should be at least 100 percent; deferment interest may apply under section 234C","Income Tax Department - Advance Tax guidance","https://www.incometaxindia.gov.in/en/aop/boi","Advance-tax instalment table"
"DL-005","2026-27","2025-26",,"advance tax for 44AD or 44ADA presumptive taxpayer","eligible presumptive taxpayer liable to advance tax","2026-03-15","section 211","advance_tax_for_44ad_or_44ada_presumptive_taxpayer","100 percent of advance tax is due by this date; deferment interest may apply under section 234C","Income Tax Department - Section 211","https://www.incometaxindia.gov.in/hi/w/section-211-63","Section 211(1)(b)"
"DL-006","2026-27","2025-26",,"issue Form 16 for FY 2025-26","employer deducting salary TDS","2026-06-15","rule 31","issue_form_16_for_fy_2025_26","Delayed certificate affects TDS reconciliation and can attract statutory consequence.","Income Tax Department - Rule 31","https://wmstatic-prd.incometaxindia.gov.in/web/guest/w/rule-31-6","Rule 31 Form 16 deadline"
"DL-007","2026-27","2025-26","ITR-4","file ITR-4","eligible ITR-4 taxpayer not requiring audit","2026-08-31","section 139(1)","file_itr_4","Late filing can attract fee up to Rs.5000 and interest where applicable.","Income Tax Department - File ITR-4 FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","AY 2026-27 due-date FAQ"
"DL-008","2026-27","2025-26",,"file tax audit report","person subject to tax audit with ITR due date 2026-10-31","2026-09-30","section 44AB","file_tax_audit_report","Audit report is due one month before the related ITR due date.","Income Tax Department - Income Tax Returns FAQs","https://www.incometax.gov.in/iec/foportal/node/11724","AY 2026-27 tax-audit deadline FAQ"
"DL-009","2026-27","2025-26",,"file belated return","person eligible to furnish a belated AY 2026-27 return","2026-12-31","section 139(4)","file_belated_return","Late filing fee and interest may apply; earlier assessment completion cuts off the date.","Income Tax Department - Income Tax Returns FAQs","https://www.incometax.gov.in/iec/foportal/node/11724","AY 2026-27 belated-return FAQ"
"DL-010","2026-27","2025-26","ITR-1","file ITR-1 non-audit return","eligible ITR-1 taxpayer","2026-08-31","section 139(1)","itr1_non_audit","Late filing fee and interest may apply.","Income Tax Department - Income Tax Returns FAQs","https://www.incometax.gov.in/iec/foportal/node/11724","AY 2026-27 non-audit due-date guidance"
"DL-011","2026-27","2025-26","ITR-2","file ITR-2 non-audit return","eligible ITR-2 taxpayer not subject to audit","2026-08-31","section 139(1)","itr2_non_audit","Late filing fee and interest may apply.","Income Tax Department - Income Tax Returns FAQs","https://www.incometax.gov.in/iec/foportal/node/11724","AY 2026-27 non-audit due-date guidance"
"DL-012","2026-27","2025-26","ITR-3","file ITR-3 non-audit return","eligible ITR-3 taxpayer not subject to audit","2026-08-31","section 139(1)","itr3_non_audit","Late filing fee and interest may apply.","Income Tax Department - Income Tax Returns FAQs","https://www.incometax.gov.in/iec/foportal/node/11724","AY 2026-27 non-audit due-date guidance"
"DL-013","2026-27","2025-26","ITR-3","file ITR-3 audit return","ITR-3 taxpayer subject to tax audit","2026-10-31","section 139(1)","itr3_audit","Late filing fee and interest may apply.","Income Tax Department - Income Tax Returns FAQs","https://www.incometax.gov.in/iec/foportal/node/11724","AY 2026-27 audit-return due-date guidance"
